# host=127.0.0.1
# port=8080
# clients=100
# requestsPerClient=20
# warmupDiscarded=20
# elapsedSec=11.189765
# throughput=178.734763
# p50Ms=558
# p95Ms=575
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1771319131100,33,12,1198,551,true
1771319131102,81,11,1200,552,true
1771319131103,84,11,1199,553,true
1771319131104,12,12,1197,556,true
1771319131105,27,11,1201,555,true
1771319131116,67,12,1205,553,true
1771319131116,99,12,1204,553,true
1771319131116,85,12,1203,553,true
1771319131116,28,11,1202,567,true
1771319131136,93,12,1212,555,true
1771319131136,19,12,1211,555,true
1771319131136,53,12,1209,556,true
1771319131136,78,12,1210,556,true
1771319131136,14,12,1207,556,true
1771319131136,98,12,1208,557,true
1771319131136,92,12,1206,557,true
1771319131189,34,12,1213,545,true
1771319131189,25,12,1214,545,true
1771319131210,59,12,1218,549,true
1771319131210,16,12,1217,549,true
1771319131210,36,12,1216,549,true
1771319131210,70,12,1215,550,true
1771319131211,55,12,1221,549,true
1771319131211,35,12,1220,550,true
1771319131211,72,12,1219,550,true
1771319131220,29,12,1222,558,true
1771319131220,57,12,1224,544,true
1771319131220,18,12,1223,544,true
1771319131221,73,12,1225,545,true
1771319131241,54,12,1226,549,true
1771319131241,71,12,1227,549,true
1771319131241,56,12,1228,549,true
1771319131241,74,12,1229,549,true
1771319131241,17,12,1231,549,true
1771319131241,5,12,1230,550,true
1771319131241,75,12,1232,550,true
1771319131292,77,12,1233,537,true
1771319131292,22,12,1234,537,true
1771319131324,51,12,1244,537,true
1771319131324,40,12,1243,537,true
1771319131324,10,12,1242,551,true
1771319131324,32,12,1236,552,true
1771319131324,58,12,1237,552,true
1771319131324,89,12,1238,552,true
1771319131325,69,12,1240,553,true
1771319131325,76,12,1235,553,true
1771319131325,24,12,1241,553,true
1771319131325,90,12,1239,553,true
1771319131326,8,12,1245,539,true
1771319131347,31,12,1246,543,true
1771319131347,49,12,1247,543,true
1771319131347,43,12,1249,543,true
1771319131347,61,12,1248,543,true
1771319131347,60,12,1250,543,true
1771319131347,66,12,1251,543,true
1771319131352,2,12,1252,547,true
1771319131395,46,12,1253,526,true
1771319131396,3,12,1254,527,true
1771319131427,15,12,1255,542,true
1771319131428,21,12,1256,543,true
1771319131429,37,12,1259,544,true
